contender,scenario,seed_band,n_episodes,episode_length,p50,p95,p99,mean_lat,sla_pct,shed_pct,reward,hhi
round_robin,heterogeneous,30000-30039,40,128,39.092441200261575,757.2468875104219,912.035537471612,208.78157651506618,33.8671875,6.238197772157159,-2.479501907893892,0.2769357638888889
round_robin,heterogeneous,31000-31039,40,128,88.00044259886242,777.8471465841762,986.9356317989281,268.9862666473298,46.62109375,9.957337131003756,-3.3273721121121427,0.2938259548611112
round_robin,heterogeneous,32000-32039,40,128,50.842244464679524,900.4967468435694,1128.128342940255,266.44109123733085,41.26953125,9.601660071052972,-3.1855615338039978,0.2919184027777778
round_robin,heterogeneous,33000-33039,40,128,67.04576132710703,888.0784550183504,1070.5609435481658,293.83244070399445,44.35546875,10.113173275271139,-3.4742776429631634,0.29477430555555556
round_robin,heterogeneous,34000-34039,40,128,41.4193705205639,795.7502292723541,1028.8350120302932,233.55010055684525,35.6640625,8.428637130020315,-2.8471934829405634,0.2876627604166667
least_connections,heterogeneous,30000-30039,40,128,39.77852860239138,726.2102393987299,872.3260563321652,193.81065556827463,33.59375,7.378372673304441,-2.461340295413046,0.27240234375
least_connections,heterogeneous,31000-31039,40,128,106.19971201178505,816.8804336455312,948.6855293800544,273.98451461454016,48.046875,12.159176829241929,-3.4989774220715737,0.29062282986111115
least_connections,heterogeneous,32000-32039,40,128,53.882090630681574,870.4668452230104,942.7358600424292,257.8465212976529,42.79296875,10.868355258254818,-3.248154040534132,0.2862131076388889
least_connections,heterogeneous,33000-33039,40,128,94.37853958935621,879.804928194211,1046.3510344282215,295.5615832512185,47.51953125,12.025250777965665,-3.6761230520233297,0.28880859375000006
least_connections,heterogeneous,34000-34039,40,128,45.97700974959788,811.7533014352038,1025.7976670820242,235.0042104225916,39.47265625,10.001621192898853,-3.010727703591543,0.2813194444444445
random_shadow,heterogeneous,30000-30039,40,128,40.698981811653795,809.6759121904868,1067.5275745868805,223.6828215434294,34.84375,8.063654959534903,-2.6664972657230925,0.3023611871668349
random_shadow,heterogeneous,31000-31039,40,128,107.97021389423216,831.6703046824301,1059.4845108301424,285.02938439722686,48.26171875,12.160626490034485,-3.555388996332286,0.31934307356072356
random_shadow,heterogeneous,32000-32039,40,128,56.20995518056434,908.5718021476016,1177.3824405226392,275.3258948628424,42.8125,11.259559083009867,-3.338874674685502,0.31623787771239853
random_shadow,heterogeneous,33000-33039,40,128,79.29960257671712,939.8235019085722,1167.2946563600706,301.5178902480301,46.38671875,12.121645660034234,-3.662460139728199,0.319845951611833
random_shadow,heterogeneous,34000-34039,40,128,42.156427589111686,811.8185506390314,1054.1868019816352,232.02516570686174,36.93359375,9.588608467488125,-2.8819456276457993,0.30848202410218273
join_shortest_queue,heterogeneous,30000-30039,40,128,37.08559100709063,1015.8151822017302,1196.6686068983543,206.9761059320086,24.8046875,7.799370966411109,-2.3470066145093877,0.25581248797109496
join_shortest_queue,heterogeneous,31000-31039,40,128,50.77420474991031,1140.3950356088676,1267.8741524764228,294.27263726861634,38.6328125,12.433065436232493,-3.3465659004990274,0.28636949229834513
join_shortest_queue,heterogeneous,32000-32039,40,128,41.76703323460258,1224.7183726854296,1360.843343107746,288.31290935560594,34.58984375,11.539722022230878,-3.2307234449634707,0.2817092263270803
join_shortest_queue,heterogeneous,33000-33039,40,128,51.89548895329883,1218.6765476500382,1394.0443359420167,291.60135147403207,35.25390625,11.667344911992606,-3.2862895569406008,0.28675125271192253
join_shortest_queue,heterogeneous,34000-34039,40,128,40.46091958140045,1041.0141632818832,1433.4713574085008,256.39278250601876,32.40234375,10.451514376286905,-2.902672006123148,0.2760102643189575
power_of_two_choices,heterogeneous,30000-30039,40,128,36.90134007233439,929.9246171537919,1107.4493686370888,213.11745396504458,26.132812500000004,7.966858611733042,-2.4049576334428653,0.2554438684470046
power_of_two_choices,heterogeneous,31000-31039,40,128,49.592014483461476,1055.570164414462,1267.8741524764223,285.801803878879,39.375,12.615111363671247,-3.355698200389793,0.2821406923514245
power_of_two_choices,heterogeneous,32000-32039,40,128,41.117560978294165,1184.5385254325251,1387.1799112214987,290.6783893786445,34.3359375,11.676523916486827,-3.2309132384082027,0.27539936916985336
